iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
HUN,Europe,Hungary,2020-03-04,,,,,,,,,,,,,,,,,,,,,230.0,,0.024,,,,,,tests performed,11.11,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
HUN,Europe,Hungary,2020-03-05,2.0,2.0,,,0.0,,0.207,0.207,,,0.0,,,,,,,,,,,,,,,,,,tests performed,11.11,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
HUN,Europe,Hungary,2020-03-06,,,,,,,,,,,,,,,,,,,,,269.0,,0.028,,,,,,tests performed,11.11,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
HUN,Europe,Hungary,2020-03-07,4.0,2.0,,,0.0,,0.414,0.207,,,0.0,,,,,,,,,,319.0,50.0,0.033,0.005,,,,,tests performed,11.11,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
HUN,Europe,Hungary,2020-03-08,7.0,3.0,,,0.0,,0.725,0.311,,,0.0,,,,,,,,,,362.0,43.0,0.037,0.004,,,,,tests performed,11.11,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
HUN,Europe,Hungary,2020-03-09,8.0,1.0,,,0.0,,0.828,0.104,,,0.0,,,,,,,,,,,,,,,,,,tests performed,19.44,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
HUN,Europe,Hungary,2020-03-10,9.0,1.0,,,0.0,,0.932,0.104,,,0.0,,,,,,,,,,531.0,,0.055,,,,,,tests performed,19.44,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
HUN,Europe,Hungary,2020-03-11,12.0,3.0,1.714,,0.0,0.0,1.242,0.311,0.177,,0.0,0.0,,,,,,,,,609.0,78.0,0.063,0.008,54.0,0.006,,,tests performed,50.0,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
HUN,Europe,Hungary,2020-03-12,13.0,1.0,1.571,,0.0,0.0,1.346,0.104,0.163,,0.0,0.0,,,,,,,,,730.0,121.0,0.076,0.013,69.0,0.007,43.909,0.023,tests performed,53.7,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
HUN,Europe,Hungary,2020-03-13,16.0,3.0,2.0,,0.0,0.0,1.656,0.311,0.207,,0.0,0.0,,,,,,,,,858.0,128.0,0.089,0.013,84.0,0.009,42.0,0.024,tests performed,53.7,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
